,Region,SentOn,ReceivedTime,LetterCount,Angriness
0,East,2017-11-01 13:54:03+00:00,2017-11-01 14:02:18+00:00,83,0.1839080459770115
1,East,2017-11-01 14:08:08+00:00,2017-11-01 15:27:13+00:00,200,0.06120434353405726
2,Americas,2017-11-01 14:08:17+00:00,2017-11-01 14:17:11+00:00,46,0.1134453781512605
3,Americas,2017-11-01 14:08:55+00:00,2017-11-01 15:07:49+00:00,50,0.0945945945945946
4,Americas,2017-11-01 14:09:42+00:00,2017-11-01 14:18:24+00:00,65,0.0546875
5,Emea,2017-11-01 14:10:02+00:00,2017-11-01 14:22:19+00:00,13,0.1
6,Emea,2017-11-01 14:10:45+00:00,2017-11-01 14:19:16+00:00,165,0.10159118727050184
7,Emea,2017-11-01 14:15:45+00:00,2017-11-01 15:25:11+00:00,2,0.125
8,Americas,2017-11-01 14:16:10+00:00,2017-11-01 15:44:09+00:00,3,0.3333333333333333
9,Emea,2017-11-01 14:16:22+00:00,2017-11-01 15:04:28+00:00,2,0.2
10,Emea,2017-11-01 14:16:41+00:00,2017-11-01 14:27:00+00:00,80,0.11714285714285715
11,Emea,2017-11-01 14:16:48+00:00,2017-11-01 15:47:00+00:00,12,0.06382978723404255
12,Emea,2017-11-01 14:16:54+00:00,2017-11-01 15:55:16+00:00,1,0.125
13,Emea,2017-11-01 14:17:07+00:00,2017-11-01 15:47:21+00:00,19,0.09333333333333334
14,Emea,2017-11-01 14:17:25+00:00,2017-11-01 14:26:03+00:00,47,0.13917525773195877
15,Emea,2017-11-01 14:17:29+00:00,2017-11-01 15:04:26+00:00,4,0.12903225806451613
16,Emea,2017-11-01 14:18:00+00:00,2017-11-01 14:53:55+00:00,72,0.10240963855421686
17,Americas,2017-11-01 14:18:00+00:00,2017-11-01 15:07:24+00:00,46,0.16243654822335024
18,Americas,2017-11-01 14:18:12+00:00,2017-11-01 14:29:46+00:00,5,1.0
19,Emea,2017-11-01 14:18:30+00:00,2017-11-01 15:09:48+00:00,3,0.07692307692307693
20,Emea,2017-11-01 14:18:37+00:00,2017-11-01 15:06:07+00:00,10,0.2
21,Emea,2017-11-01 14:18:37+00:00,2017-11-01 15:55:15+00:00,23,0.04
22,Americas,2017-11-01 14:18:38+00:00,2017-11-01 15:18:48+00:00,37,0.15625
23,Americas,2017-11-01 14:19:15+00:00,2017-11-01 14:29:21+00:00,41,0.1643835616438356
24,Emea,2017-11-01 14:19:23+00:00,2017-11-01 15:08:44+00:00,4,0.047619047619047616
25,Emea,2017-11-01 14:19:26+00:00,2017-11-01 15:35:06+00:00,5,0.3181818181818182
26,Emea,2017-11-01 14:19:41+00:00,2017-11-01 14:58:27+00:00,41,0.23170731707317074
27,Emea,2017-11-01 14:20:02+00:00,2017-11-01 15:21:07+00:00,8,0.08333333333333333
28,Emea,2017-11-01 14:20:11+00:00,2017-11-01 14:59:52+00:00,4,1.0
29,Americas,2017-11-01 14:20:12+00:00,2017-11-01 14:28:57+00:00,7,0.08695652173913043
30,Americas,2017-11-01 14:20:35+00:00,2017-11-01 14:34:14+00:00,39,0.16352201257861634
31,Americas,2017-11-01 14:20:38+00:00,2017-11-01 14:45:55+00:00,11,0.05714285714285714
32,Americas,2017-11-01 14:20:53+00:00,2017-11-01 15:11:06+00:00,4,1.0
33,Emea,2017-11-01 14:21:04+00:00,2017-11-01 16:01:28+00:00,6,0.047619047619047616
34,Emea,2017-11-01 14:21:09+00:00,2017-11-01 15:06:16+00:00,27,0.3125
35,Americas,2017-11-01 14:21:16+00:00,2017-11-01 15:46:41+00:00,44,0.11274509803921569
36,Emea,2017-11-01 14:21:41+00:00,2017-11-01 15:24:07+00:00,45,0.17901234567901234
37,Emea,2017-11-01 14:21:46+00:00,2017-11-01 14:56:12+00:00,54,0.12639405204460966
38,Emea,2017-11-01 14:21:52+00:00,2017-11-01 15:11:33+00:00,9,0.0425531914893617
39,East,2017-11-01 14:22:19+00:00,2017-11-01 16:02:36+00:00,24,0.13725490196078433
40,Emea,2017-11-01 14:22:24+00:00,2017-11-01 15:23:44+00:00,41,0.04597701149425287
41,Americas,2017-11-01 14:22:30+00:00,2017-11-01 15:42:21+00:00,26,0.2231404958677686
42,Americas,2017-11-01 14:22:58+00:00,2017-11-01 15:18:43+00:00,5,1.0
43,Americas,2017-11-01 14:23:02+00:00,2017-11-01 15:19:55+00:00,7,0.03125
44,Emea,2017-11-01 14:23:04+00:00,2017-11-01 15:28:27+00:00,13,0.05555555555555555
45,Emea,2017-11-01 14:23:13+00:00,2017-11-01 15:08:15+00:00,7,0.07142857142857142
46,Americas,2017-11-01 14:23:18+00:00,2017-11-01 15:08:18+00:00,8,0.058823529411764705
47,Americas,2017-11-01 14:23:20+00:00,2017-11-01 15:46:56+00:00,87,0.1729490022172949
48,East,2017-11-01 14:23:29+00:00,2017-11-01 14:41:42+00:00,9,0.075
49,East,2017-11-01 14:23:33+00:00,2017-11-01 16:02:37+00:00,61,0.10507246376811594
50,Emea,2017-11-01 14:23:38+00:00,2017-11-01 15:18:31+00:00,10,0.03333333333333333
51,Emea,2017-11-01 14:23:50+00:00,2017-11-01 15:15:46+00:00,2,0.125
52,Americas,2017-11-01 14:23:50+00:00,2017-11-01 15:09:01+00:00,9,0.11475409836065574
53,East,2017-11-01 14:24:05+00:00,2017-11-01 15:32:44+00:00,3,0.07142857142857142
54,East,2017-11-01 14:24:05+00:00,2017-11-01 15:16:42+00:00,18,0.19672131147540983
55,Emea,2017-11-01 14:24:12+00:00,2017-11-01 15:41:42+00:00,8,0.02702702702702703
56,Americas,2017-11-01 14:24:14+00:00,2017-11-01 15:04:15+00:00,11,0.11538461538461539
57,Americas,2017-11-01 14:24:20+00:00,2017-11-01 15:18:37+00:00,2,0.1111111111111111
58,Emea,2017-11-01 14:24:20+00:00,2017-11-01 15:46:25+00:00,16,0.3728813559322034
59,Emea,2017-11-01 14:24:30+00:00,2017-11-01 15:11:13+00:00,7,0.10344827586206896
60,Emea,2017-11-01 14:24:34+00:00,2017-11-01 14:43:49+00:00,12,0.20634920634920634
61,Emea,2017-11-01 14:24:39+00:00,2017-11-01 15:44:46+00:00,8,0.029411764705882353
62,East,2017-11-01 14:24:53+00:00,2017-11-01 15:19:27+00:00,19,0.050505050505050504
63,Americas,2017-11-01 14:24:57+00:00,2017-11-01 16:01:37+00:00,41,0.057692307692307696
64,Emea,2017-11-01 14:25:03+00:00,2017-11-01 15:39:24+00:00,10,0.0851063829787234
65,Emea,2017-11-01 14:25:05+00:00,2017-11-01 15:01:44+00:00,15,0.05263157894736842
66,East,2017-11-01 14:25:16+00:00,2017-11-01 15:18:36+00:00,61,0.0959409594095941
67,East,2017-11-01 14:25:22+00:00,2017-11-01 15:11:19+00:00,95,0.10638297872340426
68,Emea,2017-11-01 14:25:25+00:00,2017-11-01 15:11:07+00:00,7,0.06896551724137931
69,Americas,2017-11-01 14:25:27+00:00,2017-11-01 14:49:25+00:00,24,0.0673076923076923
70,Emea,2017-11-01 14:25:29+00:00,2017-11-01 15:49:50+00:00,16,0.1
71,Emea,2017-11-01 14:25:45+00:00,2017-11-01 15:33:31+00:00,22,0.036585365853658534
72,East,2017-11-01 14:26:03+00:00,2017-11-01 16:21:03+00:00,35,0.20270270270270271
73,Emea,2017-11-01 14:26:13+00:00,2017-11-01 16:15:51+00:00,19,0.07894736842105263
74,Americas,2017-11-01 14:26:13+00:00,2017-11-01 15:32:58+00:00,2,0.125
75,Americas,2017-11-01 14:26:15+00:00,2017-11-01 15:16:52+00:00,2,0.125
76,East,2017-11-01 14:26:20+00:00,2017-11-01 16:15:39+00:00,8,0.045454545454545456
77,Americas,2017-11-01 14:26:25+00:00,2017-11-01 15:48:30+00:00,49,0.12883435582822086
78,Emea,2017-11-01 14:26:30+00:00,2017-11-01 15:10:10+00:00,87,0.1358695652173913
79,East,2017-11-01 14:26:31+00:00,2017-11-01 15:03:26+00:00,20,0.04819277108433735
80,Emea,2017-11-01 14:26:43+00:00,2017-11-01 15:45:19+00:00,27,0.16184971098265896
81,East,2017-11-01 14:26:47+00:00,2017-11-01 15:18:36+00:00,10,0.14
82,East,2017-11-01 14:26:50+00:00,2017-11-01 15:08:09+00:00,36,0.12244897959183673
83,Emea,2017-11-01 14:26:52+00:00,2017-11-01 15:23:37+00:00,6,0.04
84,Emea,2017-11-01 14:26:57+00:00,2017-11-01 15:39:29+00:00,104,0.1490566037735849
85,Emea,2017-11-01 14:27:00+00:00,2017-11-01 15:15:16+00:00,7,0.03571428571428571
86,Americas,2017-11-01 14:27:05+00:00,2017-11-01 14:59:17+00:00,11,0.05405405405405406
87,Emea,2017-11-01 14:27:17+00:00,2017-11-01 14:55:19+00:00,35,0.16666666666666666
88,Emea,2017-11-01 14:27:23+00:00,2017-11-01 15:35:57+00:00,74,0.11081081081081082
89,Emea,2017-11-01 14:27:25+00:00,2017-11-01 15:19:43+00:00,24,0.042105263157894736
90,Emea,2017-11-01 14:27:31+00:00,2017-11-01 15:19:12+00:00,5,0.043478260869565216
91,East,2017-11-01 14:27:44+00:00,2017-11-01 15:37:58+00:00,2,0.125
92,Americas,2017-11-01 14:27:45+00:00,2017-11-01 15:45:40+00:00,24,0.10465116279069768
93,Americas,2017-11-01 14:27:49+00:00,2017-11-01 14:50:18+00:00,61,0.16597510373443983
94,Emea,2017-11-01 14:27:54+00:00,2017-11-01 15:14:30+00:00,258,0.4084995663486557
95,Americas,2017-11-01 14:28:03+00:00,2017-11-01 14:53:04+00:00,10,0.06521739130434782
96,East,2017-11-01 14:28:06+00:00,2017-11-01 15:20:30+00:00,25,0.044642857142857144
97,Emea,2017-11-01 14:28:12+00:00,2017-11-01 15:45:38+00:00,67,0.125
98,East,2017-11-01 14:28:17+00:00,2017-11-01 15:46:02+00:00,10,0.15217391304347827
99,Emea,2017-11-01 14:28:20+00:00,2017-11-01 14:39:23+00:00,90,0.13990825688073394
100,Emea,2017-11-01 14:28:21+00:00,2017-11-01 15:18:54+00:00,41,1.0
101,Emea,2017-11-01 14:28:21+00:00,2017-11-01 15:14:56+00:00,5,0.04
102,Emea,2017-11-01 14:28:23+00:00,2017-11-01 15:35:40+00:00,2,0.125
103,Emea,2017-11-01 14:28:33+00:00,2017-11-01 15:41:51+00:00,20,0.0707070707070707
104,Americas,2017-11-01 14:28:33+00:00,2017-11-01 15:36:53+00:00,11,0.05405405405405406
105,East,2017-11-01 14:28:37+00:00,2017-11-01 15:33:51+00:00,52,0.06276150627615062
106,Americas,2017-11-01 14:28:39+00:00,2017-11-01 15:18:43+00:00,39,0.14606741573033707
107,Emea,2017-11-01 14:28:49+00:00,2017-11-01 15:39:17+00:00,6,0.05
108,Emea,2017-11-01 14:28:53+00:00,2017-11-01 15:14:11+00:00,18,0.04
109,Americas,2017-11-01 14:29:28+00:00,2017-11-01 15:19:56+00:00,14,0.015384615384615385
110,Emea,2017-11-01 14:29:36+00:00,2017-11-01 15:15:12+00:00,306,0.36749633967789164
111,Emea,2017-11-01 14:29:50+00:00,2017-11-01 15:27:53+00:00,259,0.42650807136788443
112,Emea,2017-11-01 14:29:50+00:00,2017-11-01 15:37:54+00:00,13,0.1111111111111111
113,Americas,2017-11-01 14:30:17+00:00,2017-11-01 15:30:42+00:00,69,0.1975806451612903
114,East,2017-11-01 14:30:21+00:00,2017-11-01 15:25:40+00:00,9,0.1
115,East,2017-11-01 14:30:31+00:00,2017-11-01 15:15:53+00:00,101,0.14791666666666667
116,Emea,2017-11-01 14:30:41+00:00,2017-11-01 15:26:35+00:00,4,0.058823529411764705
117,Emea,2017-11-01 14:30:48+00:00,2017-11-01 15:00:40+00:00,5,0.07692307692307693
118,East,2017-11-01 14:30:51+00:00,2017-11-01 15:33:29+00:00,18,0.034482758620689655
119,Americas,2017-11-01 14:31:02+00:00,2017-11-01 15:18:53+00:00,13,0.125
120,Emea,2017-11-01 14:31:07+00:00,2017-11-01 15:33:30+00:00,205,0.08425275827482448
121,Americas,2017-11-01 14:31:30+00:00,2017-11-01 15:13:24+00:00,109,0.2674698795180723
122,Americas,2017-11-01 14:32:17+00:00,2017-11-01 15:45:54+00:00,6,0.047619047619047616
123,Emea,2017-11-01 14:32:42+00:00,2017-11-01 15:23:32+00:00,293,0.38309215536938307
124,Americas,2017-11-01 14:32:50+00:00,2017-11-01 15:19:53+00:00,10,1.0
125,Emea,2017-11-01 14:33:22+00:00,2017-11-01 15:22:51+00:00,1,1.0
126,Americas,2017-11-01 14:33:29+00:00,2017-11-01 14:43:55+00:00,3,0.1111111111111111
127,Emea,2017-11-01 14:33:29+00:00,2017-11-01 15:46:44+00:00,6,1.0
128,Emea,2017-11-01 14:33:34+00:00,2017-11-01 15:33:34+00:00,65,0.12589928057553956
129,Emea,2017-11-01 14:33:48+00:00,2017-11-01 16:21:59+00:00,31,0.3916083916083916
130,East,2017-11-01 14:33:51+00:00,2017-11-01 16:19:43+00:00,13,0.09230769230769231
131,Emea,2017-11-01 14:34:05+00:00,2017-11-01 15:33:32+00:00,28,0.022900763358778626
132,East,2017-11-01 14:34:10+00:00,2017-11-01 15:22:15+00:00,57,0.14772727272727273
133,Emea,2017-11-01 14:35:13+00:00,2017-11-01 15:19:54+00:00,59,0.10638297872340426
134,Emea,2017-11-01 14:35:59+00:00,2017-11-01 15:18:34+00:00,0,
135,Americas,2017-11-01 14:37:27+00:00,2017-11-01 15:46:58+00:00,8,0.02702702702702703
136,Americas,2017-11-01 14:37:36+00:00,2017-11-01 15:34:00+00:00,58,0.2926829268292683
137,Americas,2017-11-01 14:38:32+00:00,2017-11-01 15:18:41+00:00,6,0.038461538461538464
138,,2017-11-01 14:39:41+00:00,2017-11-01 15:06:37+00:00,10,0.06451612903225806
139,Emea,2017-11-01 14:39:46+00:00,2017-11-01 14:56:26+00:00,25,0.08163265306122448
140,Emea,2017-11-01 14:40:01+00:00,2017-11-01 15:18:52+00:00,10,0.25
141,Americas,2017-11-01 14:40:04+00:00,2017-11-01 15:21:40+00:00,92,0.13941018766756033
142,Emea,2017-11-01 14:40:49+00:00,2017-11-01 15:18:56+00:00,13,0.0851063829787234
143,Americas,2017-11-01 14:41:38+00:00,2017-11-01 15:46:34+00:00,8,0.09375
144,Americas,2017-11-01 14:42:38+00:00,2017-11-01 15:04:04+00:00,5,1.0
145,Americas,2017-11-01 14:43:00+00:00,2017-11-01 15:18:20+00:00,30,0.16981132075471697
146,Americas,2017-11-01 14:44:37+00:00,2017-11-01 15:30:35+00:00,37,0.2236024844720497
147,Americas,2017-11-01 14:46:21+00:00,2017-11-01 15:35:49+00:00,11,0.06976744186046512
148,Emea,2017-11-01 14:46:51+00:00,2017-11-01 15:49:08+00:00,0,
149,Emea,2017-11-01 14:46:56+00:00,2017-11-01 15:31:48+00:00,57,0.07758620689655173
150,Emea,2017-11-01 14:49:17+00:00,2017-11-01 15:19:12+00:00,8,0.03333333333333333
151,Emea,2017-11-01 14:49:23+00:00,2017-11-01 15:18:51+00:00,4,0.10526315789473684
152,Americas,2017-11-01 14:51:32+00:00,2017-11-01 15:23:51+00:00,4,1.0
